dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
gaussian,matern,gray_full,gray,4096,64,64,64,10,20,1.884,1.078,2.760,2.817,3.040,362302.4,1972386.6,0.021875,456.555,165.41,1
gaussian,matern,gray_full,gray,4096,64,64,64,10,40,1.884,1.078,3.854,3.936,4.256,259460.2,1461921.5,0.050000,456.555,118.46,1
gaussian,matern,gray_full,gray,4096,64,64,64,10,80,1.884,1.078,5.777,5.889,6.304,173093.7,945123.8,0.075000,456.555,79.03,1
gaussian,matern,gray_full,gray,4096,64,64,64,10,160,1.884,1.078,9.388,9.472,9.985,106514.7,575684.5,0.112500,456.555,48.63,1
gaussian,matern,gray_full,gray,4096,64,64,64,10,4096,1.884,1.078,35.453,35.393,37.442,28206.1,32518.0,1.000000,456.555,12.88,1
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,10,1.884,1.078,2.069,2.080,2.241,483310.7,2462864.6,0.028125,459.464,222.06,1
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,20,1.884,1.078,2.677,2.720,2.880,373539.4,1930385.5,0.034375,459.464,171.63,1
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,40,1.884,1.078,3.770,3.840,4.064,265243.2,1449209.7,0.059375,459.464,121.87,1
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,80,1.884,1.078,5.696,5.760,6.177,175555.1,944231.3,0.078125,459.464,80.66,1
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,160,1.884,1.078,9.301,9.312,9.792,107511.0,567194.9,0.112500,459.464,49.40,1
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,4096,1.884,1.078,35.016,35.138,36.705,28558.1,37926.2,1.000000,459.464,13.12,1
gaussian,identity,hamming_m32_b64,hamming,4096,64,32,64,10,10,1.760,0.578,35.119,27.777,35.585,28474.3,193904.1,0.087500,460.347,13.11,1
gaussian,identity,hamming_m32_b64,hamming,4096,64,32,64,10,20,1.760,0.578,29.366,29.313,32.961,34052.8,193866.5,0.121875,460.347,15.68,1
gaussian,identity,hamming_m32_b64,hamming,4096,64,32,64,10,40,1.760,0.578,30.721,30.081,36.930,32550.8,185832.6,0.165625,460.347,14.98,1
gaussian,identity,hamming_m32_b64,hamming,4096,64,32,64,10,80,1.760,0.578,32.744,32.609,37.089,30539.7,160584.5,0.190625,460.347,14.06,1
gaussian,identity,hamming_m32_b64,hamming,4096,64,32,64,10,160,1.760,0.578,40.222,40.002,43.234,24862.3,142647.6,0.221875,460.347,11.45,1
gaussian,identity,hamming_m32_b64,hamming,4096,64,32,64,10,4096,1.760,0.578,27.530,27.361,29.217,36323.9,57931.9,0.196875,460.347,16.72,1
gaussian,matern,hamming_m32_b64,hamming,4096,64,32,64,10,10,1.760,0.578,28.379,27.041,34.882,35237.2,195418.7,0.053125,456.555,16.09,1
gaussian,matern,hamming_m32_b64,hamming,4096,64,32,64,10,20,1.760,0.578,28.007,27.713,33.505,35705.3,193866.5,0.031250,456.555,16.30,1
gaussian,matern,hamming_m32_b64,hamming,4096,64,32,64,10,40,1.760,0.578,29.944,29.121,36.034,33395.5,185832.6,0.040625,456.555,15.25,1
gaussian,matern,hamming_m32_b64,hamming,4096,64,32,64,10,80,1.760,0.578,32.290,31.713,37.633,30969.1,165556.1,0.037500,456.555,14.14,1
gaussian,matern,hamming_m32_b64,hamming,4096,64,32,64,10,160,1.760,0.578,38.622,38.818,42.561,25891.7,143693.6,0.034375,456.555,11.82,1
gaussian,matern,hamming_m32_b64,hamming,4096,64,32,64,10,4096,1.760,0.578,27.653,27.938,28.929,36162.3,55368.9,0.006250,456.555,16.51,1
gaussian,sobolev,hamming_m32_b64,hamming,4096,64,32,64,10,10,1.760,0.578,94.789,27.841,34.529,10549.8,194091.1,0.087500,459.464,4.85,1
gaussian,sobolev,hamming_m32_b64,hamming,4096,64,32,64,10,20,1.760,0.578,28.810,28.545,34.433,34710.0,193379.2,0.078125,459.464,15.95,1
