dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,recall_at_k,exact_avg_us,speedup_vs_exact
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,5.226,1.641,1.227,1.233,1.287,815120.5,0.178125,376.793,307.13
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,5.226,1.641,2.798,2.661,3.188,357434.1,0.315625,376.793,134.68
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,5.226,1.641,2.845,2.810,3.119,351528.6,0.387500,376.793,132.45
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,5.226,1.641,4.172,4.164,4.666,239673.4,0.453125,376.793,90.31
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,5.226,1.641,7.115,6.609,7.752,140540.7,0.481250,376.793,52.95
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,5.226,1.641,84.151,77.504,101.370,11883.3,0.506250,376.793,4.48
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,5.226,1.641,1.483,1.284,1.442,674479.4,0.175000,395.869,267.01
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,5.226,1.641,1.992,1.980,2.140,502126.2,0.318750,395.869,198.78
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,5.226,1.641,3.049,2.845,3.317,327976.4,0.415625,395.869,129.84
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,5.226,1.641,4.074,4.126,4.555,245453.4,0.506250,395.869,97.17
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,5.226,1.641,6.351,6.322,7.090,157458.6,0.575000,395.869,62.33
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,5.226,1.641,76.550,76.321,82.460,13063.4,0.646875,395.869,5.17
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,10,2.730,0.570,1.682,1.142,1.836,594685.0,0.228125,384.877,228.88
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,20,2.730,0.570,1.998,1.652,1.767,500555.3,0.268750,384.877,192.65
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,40,2.730,0.570,2.206,2.173,2.689,453309.2,0.331250,384.877,174.47
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,80,2.730,0.570,3.166,3.136,3.560,315865.3,0.393750,384.877,121.57
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,160,2.730,0.570,4.901,4.865,5.290,204024.4,0.421875,384.877,78.52
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,4096,2.730,0.570,81.014,76.378,103.622,12343.5,0.706250,384.877,4.75
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,10,2.730,0.570,1.139,1.092,1.535,877818.6,0.221875,376.793,330.76
