dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,3.092,1.641,65.802,59.074,154.502,15197.2,70934.4,0.140625,454.532,6.91,1
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,3.092,1.641,177.662,164.102,337.837,5628.7,28171.9,0.153125,454.532,2.56,1
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,3.092,1.641,186.811,157.606,367.918,5353.0,26664.9,0.190625,454.532,2.43,1
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,3.092,1.641,30.351,30.689,32.385,32947.7,75543.0,0.196875,454.532,14.98,1
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,3.092,1.641,65.540,58.979,152.518,15258.0,70499.2,0.087500,459.417,7.01,1
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,3.092,1.641,66.118,70.819,152.934,15124.6,73053.9,0.143750,459.417,6.95,1
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,3.092,1.641,66.352,69.251,155.398,15071.2,72209.8,0.187500,459.417,6.92,1
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,3.092,1.641,177.679,155.430,338.381,5628.1,28625.1,0.225000,459.417,2.59,1
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,3.092,1.641,186.752,157.350,366.766,5354.7,27241.7,0.278125,459.417,2.46,1
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,3.092,1.641,30.206,30.306,32.065,33105.9,74082.1,0.287500,459.417,15.21,1
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,10,1.424,0.570,2.089,2.048,2.560,478676.5,2590463.9,0.075000,458.557,219.50,1
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,20,1.424,0.570,2.443,2.433,2.688,409317.1,2132196.2,0.115625,458.557,187.70,1
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,40,1.424,0.570,3.325,3.392,3.616,300740.6,1515079.8,0.234375,458.557,137.91,1
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,80,1.424,0.570,4.633,4.672,4.928,215834.1,1135033.5,0.318750,458.557,98.97,1
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,160,1.424,0.570,7.036,6.912,8.960,142120.5,744030.3,0.387500,458.557,65.17,1
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,4096,1.424,0.570,29.534,29.633,31.489,33859.2,63437.2,0.459375,458.557,15.53,1
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,10,1.424,0.570,1.762,1.792,1.888,567516.8,2754583.8,0.068750,454.532,257.95,1
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,20,1.424,0.570,2.300,2.336,2.464,434770.8,2197651.3,0.096875,454.532,197.62,1
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,40,1.424,0.570,3.198,3.200,3.456,312683.2,1577209.3,0.131250,454.532,142.12,1
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,80,1.424,0.570,4.643,4.608,4.992,215369.3,1091665.8,0.159375,454.532,97.89,1
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,160,1.424,0.570,7.465,6.944,9.025,133953.4,600939.0,0.178125,454.532,60.89,1
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,4096,1.424,0.570,30.206,30.081,32.705,33105.8,68108.0,0.196875,454.532,15.05,1
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,10,1.424,0.570,1.769,1.760,1.984,565271.2,2659574.5,0.065625,459.417,259.70,1
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,20,1.424,0.570,2.283,2.304,2.464,438002.2,2123001.4,0.106250,459.417,201.23,1
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,40,1.424,0.570,3.158,3.168,3.392,316643.6,1574725.7,0.159375,459.417,145.47,1
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,80,1.424,0.570,4.501,4.448,4.833,222163.6,1136323.3,0.206250,459.417,102.07,1
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,160,1.424,0.570,6.937,6.784,8.480,144148.7,745677.4,0.237500,459.417,66.22,1
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,4096,1.424,0.570,34.112,30.882,32.673,29314.9,62618.9,0.287500,459.417,13.47,1
clustered,identity,gray_full,gray,4096,64,64,64,10,10,1.605,1.078,2.321,2.336,2.624,430831.4,2347417.8,0.078125,458.557,197.56,1
clustered,identity,gray_full,gray,4096,64,64,64,10,20,1.605,1.078,2.693,2.752,2.848,371324.5,1926666.3,0.134375,458.557,170.27,1
clustered,identity,gray_full,gray,4096,64,64,64,10,40,1.605,1.078,3.724,3.808,4.032,268519.5,1381155.9,0.225000,458.557,123.13,1
clustered,identity,gray_full,gray,4096,64,64,64,10,80,1.605,1.078,5.584,5.633,6.048,179076.1,967995.6,0.387500,458.557,82.12,1
clustered,identity,gray_full,gray,4096,64,64,64,10,160,1.605,1.078,8.800,8.864,9.568,113631.9,621866.4,0.621875,458.557,52.11,1
clustered,identity,gray_full,gray,4096,64,64,64,10,4096,1.605,1.078,38.562,37.537,40.706,25931.9,37238.4,1.000000,458.557,11.89,1
clustered,matern,gray_full,gray,4096,64,64,64,10,10,1.605,1.078,1.932,1.920,2.144,517573.2,2563897.1,0.081250,454.532,235.25,1
clustered,matern,gray_full,gray,4096,64,64,64,10,20,1.605,1.078,2.513,2.560,2.688,397915.9,1995883.5,0.146875,454.532,180.87,1
clustered,matern,gray_full,gray,4096,64,64,64,10,40,1.605,1.078,3.595,3.616,3.904,278154.4,1422411.9,0.237500,454.532,126.43,1
clustered,matern,gray_full,gray,4096,64,64,64,10,80,1.605,1.078,5.361,5.408,5.824,186524.8,970844.3,0.393750,454.532,84.78,1
clustered,matern,gray_full,gray,4096,64,64,64,10,160,1.605,1.078,8.628,8.640,9.185,115897.1,599497.9,0.662500,454.532,52.68,1
clustered,matern,gray_full,gray,4096,64,64,64,10,4096,1.605,1.078,38.157,37.921,40.065,26207.2,28510.0,1.000000,454.532,11.91,1
clustered,sobolev,gray_full,gray,4096,64,64,64,10,10,1.605,1.078,1.906,1.920,2.080,524633.2,2518693.4,0.084375,459.417,241.03,1
clustered,sobolev,gray_full,gray,4096,64,64,64,10,20,1.605,1.078,2.464,2.496,2.625,405833.9,1953005.8,0.150000,459.417,186.45,1
clustered,sobolev,gray_full,gray,4096,64,64,64,10,40,1.605,1.078,3.543,3.552,3.808,282236.7,1406407.9,0.253125,459.417,129.66,1
