dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
gaussian,identity,gray_full,gray,8192,256,256,64,10,8192,10.916,8.376,298.414,264.906,341.997,3351.0,3672.7,1.000000,3856.799,12.92,1
gaussian,matern,gray_full,gray,8192,256,256,64,10,10,10.916,8.376,5.942,6.081,6.656,168305.9,1187589.7,0.004167,3852.503,648.40,1
gaussian,matern,gray_full,gray,8192,256,256,64,10,20,10.916,8.376,6.726,6.753,7.424,148685.5,968953.1,0.004167,3852.503,572.81,1
gaussian,matern,gray_full,gray,8192,256,256,64,10,40,10.916,8.376,9.744,9.728,10.880,102630.3,663983.1,0.006250,3852.503,395.38,1
gaussian,matern,gray_full,gray,8192,256,256,64,10,80,10.916,8.376,15.440,15.424,17.153,64767.1,402775.8,0.010417,3852.503,249.52,1
gaussian,matern,gray_full,gray,8192,256,256,64,10,160,10.916,8.376,30.527,25.825,29.345,32757.7,193490.7,0.022917,3852.503,126.20,1
gaussian,matern,gray_full,gray,8192,256,256,64,10,8192,10.916,8.376,330.083,267.242,357.805,3029.5,3801.6,1.000000,3852.503,11.67,1
gaussian,sobolev,gray_full,gray,8192,256,256,64,10,10,10.916,8.376,6.019,6.112,6.913,166142.9,1225458.9,0.002083,3850.789,639.78,1
gaussian,sobolev,gray_full,gray,8192,256,256,64,10,20,10.916,8.376,7.055,6.752,7.392,141744.7,975887.4,0.002083,3850.789,545.83,1
gaussian,sobolev,gray_full,gray,8192,256,256,64,10,40,10.916,8.376,9.802,9.728,11.201,102023.0,667528.9,0.006250,3850.789,392.87,1
gaussian,sobolev,gray_full,gray,8192,256,256,64,10,80,10.916,8.376,15.719,15.712,17.793,63618.9,403751.5,0.014583,3850.789,244.98,1
