dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,recall_at_k,exact_avg_us,speedup_vs_exact
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,10,2.600,0.570,1.038,1.033,1.142,963043.2,0.046875,370.288,356.60
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,20,2.600,0.570,1.583,1.585,1.712,631736.9,0.109375,370.288,233.92
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,40,2.600,0.570,2.405,2.415,2.614,415854.5,0.156250,370.288,153.99
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,80,2.600,0.570,3.511,3.494,3.903,284806.5,0.209375,370.288,105.46
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,160,2.600,0.570,5.683,5.477,7.113,175973.1,0.240625,370.288,65.16
clustered,sobolev,gray_m32_b32,gray,4096,64,32,32,10,4096,2.600,0.570,49.194,51.132,56.190,20327.7,0.265625,370.288,7.53
clustered,identity,gray_full,gray,4096,64,64,64,10,10,3.924,1.078,2.916,2.184,11.711,342876.7,0.093750,385.528,132.19
clustered,identity,gray_full,gray,4096,64,64,64,10,20,3.924,1.078,2.450,2.690,3.382,408189.3,0.165625,385.528,157.37
clustered,identity,gray_full,gray,4096,64,64,64,10,40,3.924,1.078,3.022,2.763,4.253,330903.3,0.271875,385.528,127.57
clustered,identity,gray_full,gray,4096,64,64,64,10,80,3.924,1.078,3.898,3.863,4.442,256570.6,0.431250,385.528,98.92
clustered,identity,gray_full,gray,4096,64,64,64,10,160,3.924,1.078,5.839,5.801,6.423,171252.1,0.715625,385.528,66.02
clustered,identity,gray_full,gray,4096,64,64,64,10,4096,3.924,1.078,89.150,86.949,102.888,11217.0,1.000000,385.528,4.32
clustered,matern,gray_full,gray,4096,64,64,64,10,10,3.924,1.078,1.257,1.263,1.329,795663.6,0.081250,377.251,300.17
clustered,matern,gray_full,gray,4096,64,64,64,10,20,3.924,1.078,2.226,1.810,2.030,449160.6,0.178125,377.251,169.45
clustered,matern,gray_full,gray,4096,64,64,64,10,40,3.924,1.078,2.907,2.636,2.843,343993.6,0.271875,377.251,129.77
clustered,matern,gray_full,gray,4096,64,64,64,10,80,3.924,1.078,3.824,3.791,4.186,261525.5,0.446875,377.251,98.66
clustered,matern,gray_full,gray,4096,64,64,64,10,160,3.924,1.078,5.761,5.777,6.152,173566.9,0.728125,377.251,65.48
clustered,matern,gray_full,gray,4096,64,64,64,10,4096,3.924,1.078,88.160,85.774,98.813,11343.0,1.000000,377.251,4.28
clustered,sobolev,gray_full,gray,4096,64,64,64,10,10,3.924,1.078,1.237,1.219,1.326,808530.0,0.093750,370.288,299.39
clustered,sobolev,gray_full,gray,4096,64,64,64,10,20,3.924,1.078,1.761,1.760,1.878,567889.4,0.184375,370.288,210.28
clustered,sobolev,gray_full,gray,4096,64,64,64,10,40,3.924,1.078,2.601,2.654,2.786,384495.2,0.290625,370.288,142.37
clustered,sobolev,gray_full,gray,4096,64,64,64,10,80,3.924,1.078,3.746,3.814,4.031,266918.0,0.475000,370.288,98.84
clustered,sobolev,gray_full,gray,4096,64,64,64,10,160,3.924,1.078,5.723,5.703,6.285,174744.0,0.728125,370.288,64.71
clustered,sobolev,gray_full,gray,4096,64,64,64,10,4096,3.924,1.078,88.024,86.496,94.790,11360.6,1.000000,370.288,4.21
