dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
clustered,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,160,5.743,2.313,309.871,245.514,723.868,3227.1,16488.5,0.183333,3878.607,12.52,1
clustered,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,8192,5.743,2.313,47.166,47.042,50.626,21201.8,39274.8,0.195833,3878.607,82.23,1
clustered,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,10,5.743,2.313,25.626,23.360,27.393,39023.4,265711.6,0.041667,3875.716,151.24,1
clustered,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,20,5.743,2.313,24.289,23.169,27.521,41171.0,257988.2,0.060417,3875.716,159.57,1
clustered,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,40,5.743,2.313,24.409,24.289,27.457,40968.6,247965.9,0.077083,3875.716,158.78,1
clustered,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,80,5.743,2.313,45.155,43.106,53.218,22145.9,130441.2,0.097917,3875.716,85.83,1
clustered,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,160,5.743,2.313,311.615,247.114,742.813,3209.1,16639.8,0.118750,3875.716,12.44,1
clustered,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,8192,5.743,2.313,48.671,48.066,51.010,20546.3,39282.0,0.125000,3875.716,79.63,1
clustered,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,10,5.743,2.313,23.789,23.329,28.097,42036.4,264821.7,0.041667,3879.725,163.09,1
clustered,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,20,5.743,2.313,23.524,23.361,26.465,42509.3,257192.0,0.060417,3879.725,164.92,1
clustered,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,40,5.743,2.313,24.645,24.289,28.034,40576.3,248171.0,0.079167,3879.725,157.42,1
clustered,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,80,5.743,2.313,44.293,42.690,52.290,22576.9,136086.1,0.116667,3879.725,87.59,1
clustered,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,160,5.743,2.313,307.981,247.529,717.756,3247.0,16715.2,0.125000,3879.725,12.60,1
clustered,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,8192,5.743,2.313,46.986,47.074,49.410,21283.0,38953.5,0.135417,3879.725,82.57,1
clustered,identity,gray_m32_b32,gray,8192,256,32,32,10,10,5.037,1.157,4.269,4.256,4.704,234219.5,1393971.1,0.043750,3878.607,908.45,1
clustered,identity,gray_m32_b32,gray,8192,256,32,32,10,20,5.037,1.157,4.906,4.608,4.928,203852.0,951135.4,0.062500,3878.607,790.66,1
clustered,identity,gray_m32_b32,gray,8192,256,32,32,10,40,5.037,1.157,5.932,5.441,5.856,168570.7,785726.0,0.072917,3878.607,653.82,1
clustered,identity,gray_m32_b32,gray,8192,256,32,32,10,80,5.037,1.157,7.252,6.880,7.585,137887.4,678406.9,0.108333,3878.607,534.81,1
clustered,identity,gray_m32_b32,gray,8192,256,32,32,10,160,5.037,1.157,10.086,9.312,13.345,99143.4,548026.5,0.152083,3878.607,384.54,1
clustered,identity,gray_m32_b32,gray,8192,256,32,32,10,8192,5.037,1.157,47.681,46.882,48.577,20972.9,42770.0,0.195833,3878.607,81.35,1
clustered,matern,gray_m32_b32,gray,8192,256,32,32,10,10,5.037,1.157,4.042,4.000,4.384,247393.4,1419068.7,0.035417,3875.716,958.83,1
clustered,matern,gray_m32_b32,gray,8192,256,32,32,10,20,5.037,1.157,4.867,4.513,4.768,205444.3,904125.1,0.045833,3875.716,796.24,1
clustered,matern,gray_m32_b32,gray,8192,256,32,32,10,40,5.037,1.157,5.918,5.472,5.889,168968.9,786537.1,0.050000,3875.716,654.88,1
